"domanda","opzioneA","opzioneB","opzioneC","opzioneD","soluzione","motivazione"
"Quale tra le seguenti affermazioni è falsa?","Un router IP può utilizzare il protocollo ARP (Address Resolution Protocol) per conoscere l’indirizzo MAC del router o dell’host cui deve consegnare un pacchetto IP","Un host può utilizzare messaggi ICMP per verificare la connettività di un altro host alla rete Internet.","Un router IP, che non effettua funzione di NAT (Network Address Translator), non modifica gli indirizzi IP dei pacchetti che deve ri-trasmettere","Un host IP effettua sempre solo consegne dirette","D","A B e C risultano esatte essendo le definizioni di ARP, ICMP, e NAT rispettivamente. Per esclusione la risposta è la D."
"Per evitare il blocco o la perdita di unità dati in un protocollo a finestra a causa di canali non sequenziali, è utile","Numerare le PDU su un numero di bit maggiore di 1 e non limitare il tempo di vita delle PDU nella rete","Numerare le PDU su un numero di bit maggiore di 1 e limitare il tempo di vita delle PDU nella rete","Numerare le PDU su un solo bit e limitare il tempo di vita delle PDU nella rete","","B","Per definizione nei protocolli a finestra occorre numerare le PDU su un numero di bit maggiore di 1. E’ necessario che i pacchetti abbiano un tempo di vita minimo TTL (Time To Live) altrimenti si porterebbe alla congestione (ovvero il blocco) dei nodi intermedi."
"I vincoli sulla massima estensione di una rete locale IEEE 802.3 (CSMA/CD) derivano","Sia dal ritardo di propagazione dei segnali da un estremo all’altro della rete, sia dall’attenuazione dei segnali sui mezzi trasmissivi.","Sia dall’attenuazione dei segnali sui mezzi trasmissivi, sia dai ritardi massimi tollerati dagli utenti del servizio MAC","Dal numero di bit che sarebbero necessari per aumentare le unità dati nel caso di grandi ritardi di propagazione","Dal numero limitato di indirizzi di livello 35","A","con una rete troppo estesa si aumenta la probabilità di collisione (un host non si accorge in tempo che qualcun altro ha già iniziato a trasmettere)"
"Nel caso in cui si utilizzi un protocollo a finestra su un canale che non consente inversioni nell’ordine di sequenza delle unità dati trasmesse (ovvero su canale sequenziale), supponendo di utilizzare una numerazione progressiva non ciclica, le finestre di trasmissione e di ricezione non possono mai trovarsi nella seguente situazione:","Nessun numero di sequenza compreso nella finestra di ricezione è compreso anche nella finestra di trasmissione","Il numero di sequenza più piccolo nella finestra di trasmissione è più piccolo del più piccolo numero di sequenza nella finestra di ricezione","Il numero di sequenza più piccolo nella finestra di ricezione è più piccolo del più piccolo numero di sequenza nella finestra di trasmissione.","Il numero di sequenza più grande nella finestra di ricezione è più grande del più grande numero di sequenza nella finestra di trasmissione","C","A è possibile nel caso in cui tutti i pacchetti sono stati ricevuti ma ancora nessun ACK è arrivato al trasmettitore. B e D sono entrambe il caso in cui la finestra del ricevitore è avanzata ma il trasmettitore non ha ancora ricevuto l’ACK. C non si può verificare perché la finestra di trasmissione può avanzare solo in seguito alla ricezione di ACKs i quali devono essere mandati dal ricevitore dopo la ricezione di un pacchetto, ma la ricezione comporterebbe per forza uno slide in avanti del ricevitore, quindi il ricevitore non rimane mai “indietro” rispetto al trasmettitore."
"I protocolli di sottolivello MAC (Medium Access Control) hanno scopo","Di permettere la condivisione di un canale broadcast mediante un algoritmo distribuito","Di permettere la condivisione di un canale broadcast mediante un algoritmo centralizzato","Di permettere la condivisione di un canale punto-punto","","A","Nel sottolivello MAC i protocollo ad accesso casuale risultano essere: Aloha, CSMA, CSMA/CD e CSMA/CA. Nei protocolli ad accesso casuale tutte le stazioni paritarie, implementano un algoritmo distribuito per accedere al mezzo, non esiste alcun elemento centralizzato. Fonte: “Internet”."
"Lo standard IEEE 802.3 (CSMA/CD) prevede unità dati (comprendendo anche lo strato 2)","Di dimensione variabile tra 10 e 4500 ottetti","Di dimensione variabile tra 64 e 1518 ottetti","Di dimensione fissa pari a 53","","B",""
"Quale tra le seguenti affermazioni è vera?","Nello standard commerciale Ethernet (protocolli di accesso CSMA/CD), si è definita una dimensione minima di pacchetto per garantire una corretta identificazione delle collisioni","Nello standard commerciale Ethernet (protocollo di accesso CSMA/CD), si è definita una dimensione minima di pacchetto per distinguere i pacchetti da quelli dello standard IEEE 802.3","Nello standard commerciale Ethernet (protocollo di accesso CSMA/CD), si è definita una dimensione minima di pacchetto per garantire prestazioni migliori, in termini di traffico smaltito, al protocollo di accesso rispetto a quello che si avrebbero con pacchetti di dimensione massima","","A","Su Ethernet la collisione è funzione della lunghezza del pacchetto."
"Nell’intestazione (header) TCP, ovvero nella PCI del protocollo TCP, sono obbligatoriamente contenuti","Il campo TTL (Time To Live) che permette l’eliminazione dalla rete dei pacchetti che hanno attraversato un numero eccessivo di router","Il sequence number e l’ack number, per la numerazione del segmento e dei riscontri (ACK)","Il campo fragmentation per la gestione della frammentazione dei segmenti","","B","La A è sbagliata perché il campo TTL è introdotto nell’header dello Strato Rete dal protocollo IP e non da TCP allo Strato Trasporto. La C è sbagliata perché la frammentazione (ovvero la divisione in più parti di una PDU) è gestita dallo Strato Rete e non dallo Strato Trasporto."
"Un protocollo","E’ un insieme di regole semantiche e sintattiche per consentire la comunicazione tra due entità di pari livello","E’ un insieme di regole semantiche e sintattiche per consentire la comunicazione tra due entità di stesso sistema","E’ un insieme di regole semantiche e sintattiche per consentire la comunicazione tra due sistemi che vengono collegati tra loro","E’ un insieme di regole semantiche e sintattiche per consentire la comunicazione tra due entità di sistemi diversi","A","Per definizione, un protocollo permette a un’(N)entità di comunicare con altre (N)entità, quindi dello stesso livello."
"In una rete a pacchetto Store-and-Forward l’aumento del numero di nodi tra sorgente e destinazione","Porta ad un aumento del tempo di consegna, direttamente proporzionale alla dimensione del pacchetto","Porta ad un aumento del tempo di consegna, direttamente proporzionale alla media delle velocità dei canali","Porta ad un aumento del tempo di consegna, inversamente proporzionale alla dimensione del pacchetto","","A","In modalità Store-and-Forward ogni nodo deve prima effettuare lo store di ogni pacchetto e solo successivamente può inoltrarlo al nodo successivo, quindi se aumenta il numero di nodi di un valore N, si dovrà ripetere questa procedura altre N volte. Quindi l’aumento del numero di nodi intermedi aumenta, in modo direttamente proporzionale alla dimensione del pacchetto, il tempo di consegna."
"Il protocollo UDP fornisce un servizio","Inaffidabile (ovvero senza garanzia di consegna) e connectionless","Affidabile (ovvero con garanzia di consegna) e connectionless","Inaffidabile (ovvero senza garanzia di consegna) e connection oriented","","A","Per definizione UDP: implementa solo funzioni di multiplazione e demultiplazione, non comunica al ricevitore che sta per ricevere un pacchetto (ovvero è senza connessione o connectionless) ed è inaffidabile in quanto non implementa un meccanismo che permetta di capire se il pacchetto è arrivato o meno alla destinazione. Vedi lucidi “UDP”."
"Il protocollo TCP fornisce un servizio","Inaffidabile (ovvero senza garanzia di consegna) e connectionless","Affidabile (ovvero con garanzia di consegna) e connectionless","Inaffidabile (ovvero senza garanzia di consegna) e connection oriented","Affidabile (ovvero con garanzia di consegna) e connection oriented","D","TCP fornisce funzioni di multiplazione e demultiplazione, controllo di flusso e congestione, comunica al ricevitore che sta per ricevere un pacchetto instaurando una connessione con esso (ovvero è connection oriented) ed è affidabile in quanto, tramite l’utilizzo dei Protocolli a Finestra (e quindi degli ACK e dei Timeout), ha i mezzi per capire se il pacchetto è arrivato o meno alla destinazione. Vedi lucidi “TCP”."
"Il PPP(Point-to-point-Protocol)","Utilizza la tecnica di byte-stuffing per garantire la trasparenza dei dati","Utilizza la tecnica di bit-stuffing per garantire la trasparenza dei dati","Non garantisce la trasparenza dei dati","","A","Vedi lucidi sul PPP. Inserisce un byte di escape (01111101) prima di ciascun 01111110 che appare nella PDU per garantire Trasparenza."
"Confrontando Fast Ethernet a 100 Mb/s (100Base T) con Ethernet a 10 Mb/s, quale delle seguenti affermazioni è falsa?","I vincoli di distanza tra i nodi sono più stringenti","Viene utilizzato un diverso protocollo di accesso","Viene utilizzato un diverso livello fisico","","B","La A è vera perché da Ethernet a Fast Ethernet si diminuiva la dimensione della rete di un fattore 10. La C è vera perché Base T indica il doppino, mentre Ethernet a 10Mb/s era su coassiale. L’unica falsa è la B."
"Quali dei seguenti protocolli non realizza funzioni di rilevamento errore sulle unità dati?","LaPB (Link access Protocol Balanced)","IEEE 802.2 LLC (Logical Link Protocol)","PPP (Point-to-Point Protocol)","LaPF (Link access Procedure to Frame-mode bearer services)","B","Slide “Strato collegamento (Strato 2)” pag 48, dice chiaramente che LLC non fa controllo di errore (non c’è il campo CRC)."
"Quale tra le seguenti affermazioni è vera?","Una topologia T1, con N nodi, C canali e distanza media M1, consente sempre di smaltire una quantità di traffico minore di una topologia T2, con N nodi, C canali e distanza media M2>M1, solo con traffico uniformemente distribuito tra nodi.","Una topologia T1, con N nodi, C canali e distanza media M1, consente sempre di smaltire una quantità di traffico minore di una topologia T2, con N nodi, C canali e distanza media M2>M1, indipendentemente dalla distribuzione di traffico.","La quantità di traffico smaltita in una topologia T1, con N nodi, C canali e distanza media M1, rispetto a quella smaltita in una topologia T2, con N nodi, C canali e distanza media M2>M1, dipende dalla distribuzione del traffico tra nodi","","C","A pari capacità disponibile sui canali, la quantità di traffico smaltibile da una rete dipende dalla media delle distanze tra ogni coppia di nodi sulla rete (slide: Topologie e prestazioni)."
"Tra le principali differenze tra una rete Frame Relay ed una rete Internet IP si possono annoverare:","L’utilizzo o il non utilizzo di tecniche ARQ (automatic Retransmission reQuest) in ogni tratta della rete","Il trasferimento di informazione in modalità orientata alla connessione invece che non orientata alla connessione","Trasferimento di unità dati di dimensione variabile anziché di dimensione fissa","","B","Frame relay usa circuito virtuale e non datagram (come invece fa IP). Entrambi utilizzano pacchetti di dimensione variabile."
"Si consideri una rete LAN Ethernet con 10 nodi. Si partizioni la rete in due reti interconnesse da bridge trasparenti. Quale tra le seguenti affermazioni è falsa?","Il bridge separa i domini di collisione delle due reti interconnesse","Le prestazioni della rete in termini di traffico smaltito migliorano in qualunque condizione di traffico, ovvero in modo completamente indipendente dalla distribuzione del traffico tra nodi","Il bridge introduce un ritardo aggiuntivo nelle trasmissioni tra nodi collegati mediante bridge","Non è necessario modificare la configurazione dei nodi collegati alla LAN per permettere un corretto funzionamento dopo la partizione della rete","B","da definire"
"Si considerino due LAN (Ethernet 10BaSE) A e B, collegate da un bridge B1 e da un router R1 (B1 ed R1 sono in parallelo tra le due LAN). Si supponga che il bridge ed il router abbiano entrambe le porte attive e conoscano tutti gli indirizzi (MAC ed IP rispettivamente) degli host collegati alle due LAN. Quando un host collegato alla LAN A trasmette un pacchetto IP verso un host collegato alla LAN B","Il pacchetto è inoltrato sulla LAN B o dal bridge o dal router, a seconda del valore dell’indirizzo MAC di destinazione contenuto nel pacchetto","Il pacchetto è inoltrato sulla LAN B sia dal router R1 che dal bridge B1","Il pacchetto è inoltrato sulla LAN B solo dal router R1","Il pacchetto è inoltrato sulla LAN B solo dal bridge B1","A","da definire"
"La dimensione della finestra corrente del trasmettitore TCP nel corso di una connessione","E’ regolata esclusivamente sulla base della segnalazione da parte del ricevitore della dimensione della finestra di ricezione per effettuare il controllo di flusso","Varia al variare della congestione nella rete e per il controllo di flusso esercitato dal ricevitore","E’ fissa","","B","Si ha che TWND <= min{CWND, RWND} quindi la finestra di trasmissione dipende sia dal variare della congestione di rete (CWND) e sia da quanto Buffer è disponibile sul ricevitore (RWND)"
"In caso di perdita di segmenti identificata mediante la ricezione di tre riscontri, la dimensione della finestra corrente del trasmettitore TCP reno","Viene portata ad un valore pari a metà della soglia","Viene portata ad un valore pari al valore della soglia","Viene riportata al valore iniziale, pari ad un segmento","","B","I 3 riscontri corrispondono alla ricezione di 3 ACK duplicati, resto nella fase di Congestion Avoidance con il dimezzamento della CWND, quindi la B è la risposta giusta (TCP reno)."
"Qual è l’ordine di grandezza della massima velocità di trasmissione su un doppino?","1 Tbit/s","1 kbit/s","1 Mbit/s","1 Gbit/s E) 1 bit/s","D","Vedi lucidi “Doppino”."
"Un router IP","Esegue sia frammentazione che il riassemblaggio del datagram","Esegue frammentazione dei datagram, ma non il riassemblaggio","Non esegue frammentazione dei datagram","Esegue frammentazione dei datagram, e il riassemblaggio solo se settato un bit opportuno nell’header IP","B","Il riassemblaggio è compito della destinazione finale. Fonte “Marchetto”."
"La segnalazione a canale comune","Richiede l’uso di messaggi di segnalazione che contengano l’identificativo della connessione a cui si riferiscono","È usata solamente nelle reti a commutazione di pacchetto, perché nelle reti a commutazione di circuito viene usata la tecnica di segnalazione a canale associato","Non può essere usata nelle reti a commutazione di cella o pacchetto perché è troppo difficile identificare le connessioni in queste reti senza associare loro un canale di segnalazione","Fa uso di comuni canali di trasmissione che vengono associati a ciascuna connessione in fase di apertura della connessione stessa","A","A è la definizione di segnalazione a canale comune: un canale separato gestito a commutazione di pacchetto, dove in ogni pacchetto sono contenuti l’informazione di segnalazione che riguarda uno specifico canale controllato e l’identificativo della connessione. B: la segnalazione a canale comune è usata tipicamente nelle reti telefoniche (commutazione di circuito). C: senza significato. D: definizione di canale associato. Fonte: videolezioni."
"La multiplazione a divisione di codice","è un caso particolare di sola divisione di tempo","è un caso particolare di sola divisione in frequenza","permette di usare multiplazione e commutazione sullo stesso mezzo fisico","non richiede necessariamente di essere accoppiata a multiplazione di tempo o di frequenza","D","A e B sono false, C è errata perché la commutazione è la condivisione del nodo, non del mezzo fisico, mentre la multiplazione è il modo in cui si divide il mezzo fisico. Fonte: videolezioni."
"Un (N)-protocollo regola le interazioni","tra una (N)-entità ed un (N-1)-SAP","tra (N)-entità dello stesso sistema o di sistemi diversi","tra una (N)-entità e tutte le entità al di sotto di essa nella pila protocollare","tra una (N)-entità e la (N-1)-entità","B","definizione di protocollo. Fonte: videolezioni."
"Un protocollo a finestra di tipo Go-Back-N prevede che:","Nel momento in cui un pacchetto è ricevuto con un errore siano ritrasmesse le ultime N unità dati","Il trasmettitore riceva i riscontri per le ultime N unità dati trasmesse prima di poter iniziare la trasmissione di altre unità dati","Il trasmettitore non possa inviare più di N unità dati prima di aver ricevuto uno o più riscontri","Ogni volta che scade un time-out sia ritrasmessa l’unità dati il cui ordine di sequenza è pari al numero di sequenza dell’ultima unità dati trasmessa diminuito di N","C","A: la ritrasmissione avviene con timeout e non con pacchetti ricevuti con errori. B: basta ricevere un ACK che faccia avanzare la finestra. D: il timeout può scadere durante la trasmissione della finestra e la regola non è di ritrasmettere andando indietro, ma ritrasmettere il contenuto della finestra. Fonte: videolezioni."
"Qual di queste affermazioni relative ad HTTP è falsa?","HTTP è un protocollo a livello applicazione che permette di trasferire gli oggetti di una pagina web","HTTP è un linguaggio che permette di definire il formato delle pagine Web","HTTP si basa su un’architettura client-server","Senza soluzioni aggiuntive, HTTP è un protocollo tipo stateless","B","HTTP (Hypertext Transfer Protocol) non è un linguaggio, ma un protocollo di comunicazione. È utilizzato per il trasferimento di dati, in particolare per il recupero di risorse come pagine web. La definizione del formato delle pagine web è solitamente gestita da linguaggi di markup come HTML (Hypertext Markup Language) e fogli di stile come CSS (Cascading Style Sheets)."
"Usando la tecnica del piggybacking nei protocolli a finestra si consegue il vantaggio di:","Confermare attraverso un unico riscontro la ricezione di più di una unità dati","Trasmettere unità dati anche al di fuori della finestra di trasmissione","Aumentare la probabilità che un ACK sia ricevuto dal trasmettitore","Ridurre la percentuale di informazioni di controllo che sono trasportate in rete","D","per definizione, il Piggybacking è usato nel caso di flussi di dati bidirezionali (Full-Duplex) e permette di includere l’ACK negli header dei pacchetti che viaggiano in direzione opposta."
"Il messaggio DHCP Discover viene spedito tramite UDP usando come IP destination address:","Il limited broadcast IP address 255.255.255.255","L'indirizzo di loopback 127.0.0.1","L'indirizzo IP dei DNS server locale","L'indirizzo IP dei DHCP server sulla rete locale","A","la DHCP Discover viene trasmessa con indirizzo IP destination 255.255.255.255 (Broadcast) e indirizzo di porta 67 (aggiunto da UDP). Solo i server DHCP (che possono essere più di uno all’interno della stessa rete) hanno un servizio di ricezione attivo sulla porta 67, quindi tutti gli altri host che ricevono la DHCP Discover la ignorano."
"Quale svantaggio presenta la commutazione di pacchetto di tipo datagram rispetto alla commutazione di circuito?","Calcolo dell'instradamento alla sorgente","Variabilità dei ritardi dei dati","Calcolo dell'instradamento all'apertura della comunicazione","Elevato tempo di apertura della comunicazione","B",""
"In assenza di errori, l'efficienza di un protocollo Stop and Wait:","è sempre superiore all'efficienza di un protocollo Go-Back-N","è inferiore all'efficienza di un protocollo Go-Back-N solo se il tempo di trasmissione di un pacchetto più il tempo di andata e ritorno sul canale è inferiore al tempo necessario ad inviare l'intera finestra di trasmissione del protocollo Stop and Wait","è inferiore all'efficienza di un protocollo Go-Back-N solo se il tempo di trasmissione di un pacchetto è superiore al tempo di propagazione di andata e ritorno sul canale","è sempre inferiore all'efficienza di un protocollo Go-Back-N","D",""
"A cosa serve il playout buffer?","Ad evitare le situazioni di congestione in rete","Ad accedere più rapidamente ai contenuti multimediali grazie al caching locale","A compensare i ritardi di rete nella trasmissione in streaming di contenuti multimediali","A gestire la finestra di ritrasmissione per i contenuti multimediali","C",""
"In una rete a commutazione di pacchetto a circuito virtuale il numero delle etichette usate per l'instradamento è proporzionale:","Al numero di possibili destinazioni","Al numero medio di canali in uscita da ogni nodo","Al numero di connessioni attive","Al numero medio di nodi da attraversare","C",""
"Come sono incapsulati i messaggi del protocollo ARP?","Nel corpo di un messaggio HTTP","Direttamente in un frame Ethernet","In uno o più segmenti TCP","Direttamente in un datagram IP","B",""
"Cosa succede quando il timeout di trasmissione in TCP è settato ad un valore sensibilmente inferiore al round-trip time?","Il tempo necessario per recuperare da situazioni di perdita di segmenti si allunga","Possono verificarsi ritrasmissioni di segmenti non necessarie","Non c'è mai nessun effetto visibile","Il ricevitore non garantisce più che al processo in ascolto sul socket vengano forniti dati corretti","B",""
"L'instabilità dei protocolli Aloha e Slotted Aloha è causata da:","L'aumento del ritardo di propagazione quando il traffico offerto supera una certa soglia","La diminuzione del traffico smaltito quando il traffico offerto supera una certa soglia","L'aumento del traffico smaltito quando il traffico offerto supera una certa soglia","","B",""
"Si consideri un host che sta trasmettendo dati utilizzando il protocollo TCP. Data una finestra corrente al trasmettitore di dimensione pari a 10 segmenti, con una finestra massima del ricevitore pari a 40 segmenti, nel momento in cui il trasmettitore riceve un segmento contenente un ACK da parte del ricevitore, quale tra le seguenti situazioni è impossibile?","La finestra corrente al trasmettitore diventa pari ad 1 segmento","La finestra corrente al trasmettitore diventa pari a 51 segmenti","La finestra corrente al trasmettitore diventa pari a 9 segmenti","La finestra corrente al trasmettitore diventa pari a 5 segmenti","B","la finestra di trasmissione deve rispettare sempre il vincolo TWND <= min{CWND, RWND}."
"Quale di questi campi non è contenuto nell'intestazione di un datagram IPv4?","Destination IP address","Time to live (TTL)","Protocol","Destination port","D","la Source Port e la Destination Port sono aggiunte dai protocolli di Livello Trasporto, ovvero sia da TCP che da UDP, in quanto entrambi forniscono il servizio di multiplazione e demultiplazione che permette di differenziare il traffico in entrata e di distribuirlo alle varie applicazioni (ovvero ai vari Socket) e di unificare il flusso di dati in uscita."
"Nella gerarchia prevista dal DNS per la risoluzione di nomi non presenti in cache, quale livello si trova immediatamente sotto al Root DNS Server?","Top-level domain (TLD) DNS server","DHCP server locali","Local DNS server","DNS server autoritativi","A","gerarchicamente, sotto i Root DNS Server ci sono i Domini di 1°Livello (.com, .it, .net, etc), detti anche Top-Level-Domain (TLD), che sono gestiti dai Top-Level-Domain (TLD) DNS Server."
"La finestra di congestione corrente al trasmettitore TCP all'inizio della connessione:","Ha dimensione negoziata con il ricevitore e pari a metà della finestra del ricevitore.","Ha dimensione pari ad un segmento di dimensione massima (MSS)","Ha dimensione negoziata con il ricevitore e pari al valore massimo della finestra del ricevitore","Ha una dimensione casuale scelta durante la fase di apertura della connessione","B",""
"In una rete a commutazione di pacchetto operante in modalità store-and-forward una minor dimensione delle unità dati:","Diminuisce il numero di operazioni che devono essere effettuate da un commutatore per trasferire la stessa quantità totale di informazione d'utente","Aumenta la probabilità di perdere il pacchetto a parità di probabilità di errore sul bit","Diminuisce la complessità dell'instradamento di ogni unità dati","Diminuisce il tempo che intercorre da quando un'unità dati raggiunge l'ingresso di un commutatore a quando questa lascia il commutatore","D",""
"In una topologia ad anello unidirezionale, con 10 nodi e traffico unicast uniforme (tutti i nodi trasmettono la stessa quantità di traffico a tutti gli altri), il numero medio di canali attraversati da un pacchetto è pari a:","20","10","5","1","C",""
"Il controllo di congestione del Transmission Control Protocol (TCP) si basa:","Sulla variazione del numero di bit di parità inseriti nei segmenti trasmessi","Sull'andamento della dimensione dei segmenti trasmessi allo stato della rete","Sull'adattamento della finestra del trasmettitore alla disponibilità di memoria del ricevitore","Sulla dinamica della dimensione della finestra del trasmettitore","D",""
"Il tempo minimo necessario ad inviare un pacchetto 100 Kbyte tra due stazioni separate da 300 metri, utilizzando una rete cablata con doppini UTP (Unshielded Twisted Pair) e attraversando 3 apparati di interconnessione operanti in modalità store and forward, è dell'ordine di:","Alcuni secondi","Si può calcolare solo conoscendo il bit rate di trasmissione sui canali","Qualche millisecondo","Centinaia di millisecondi","B",""
"A cosa servono i campi source e destination port in TCP e UDP?","Ad implementare un meccanismo di multiplexing/demultiplexing per i processi sugli host","Per gestire l'allocazione di risorse sul router sul path da sorgente a destinazione","Per indicare le interfacce di rete sulle quali i pacchetti verranno inoltrati da IP","Per indicare le interfacce fisiche sulle quali le trame verranno trasmesse da Ethernet","A",""
"Tra le funzioni fondamentali del livello trasporto nel modello OSI troviamo:","Scambio delle etichette nella commutazione di circuito","Lettura di dati da una periferica del terminale","Recupero degli errori di trasmissione","Instradamento delle unità dati","C",""
"A parità di tasso di informazione trasmesso, quale delle seguenti codifiche di linea richiede un bitrate più basso a livello fisico?","Codifica 12B15B","Codifica 4B5B","Richiedono tutte lo stesso bit rate","Codifica 8B10B","C",""
"Se un router riceve un pacchetto IP, con checksum corretto, con indirizzo IP sorgente e destinazione uguali e campo TTL=9","Lo instrada verso la destinazione","Lo inoltra comunque verso la destinazione, inviando tuttavia un pacchetto ICMP alla sorgente per segnalare l'errore","Lo scarta ed invia un pacchetto ICMP di errore alla sorgente","Scarta il pacchetto","A",""
"Il preambolo nel pacchetto Ethernet:","Permette di riconoscere gli errori di trasmissione","Permette di identificare il tipo di protocollo trasportato nel campo dati del pacchetto Ethernet","Permette di identificare il processo applicativo a cui consegnare il pacchetto","E’ necessario per consentire al nodo ricevitore di sintonizzare il proprio orologio con l’orologio del nodo trasmettitore","D",""
"Due stazioni IP 130.192.40.1/24 e 130.192.40.200/24","Non hanno indirizzi IP validi","Possono scambiarsi pacchetti IP direttamente","Possono scambiarsi pacchetti IP solo tramite un router","Non possono scambiarsi pacchetti IP","B",""
"SMTP","è usato da un client di posta per prelevare un messaggio di posta da un server","permette ad un server di posta di comunicare ad un altro server di posta qual è il mittente di un messaggio","permette ad un server di posta di verificare l’identità di un utente che vuole inviare un messaggio","è basato sul protocollo telnet","B",""
"I messaggi TCP contengono un numero di sequenza che indica","il prossimo byte che il ricevitore si aspetta di ricevere","il numero del messaggio nella sequenza di messaggi trasmessi tramite la connessione TCP","il numero di sequenza del messaggio in un insieme di frammenti prodotti frammentando un messaggio più grande","la posizione del primo byte del messaggio nella sequenza di byte trasmessi sulla connessione TCP","D",""
"Il controllo di congestione in TCP","impone un numero massimo di connessioni TCP che una stazione può aprire","si basa su informazioni ricevute dai router presenti sul percorso","è presente solo per alcuni tipi di connessione","limita la dimensione della finestra di trasmissione","D",""
"Nel protocollo WI-FI con DCF ed handshaking","l’invio dei pacchetti RTS e del CTS riduce la probabilità delle collisioni sui pacchetti dati","si evitano completamente le collisioni grazie al meccanismo di carrier sense","l’invio dei pacchetti RTS e del CTS permette a due terminali, di cui uno nascosto, di inviare contemporaneamente le loro trame","si evitano completamente le collisioni su qualunque tipo di dato trasmesso","A",""
"Il metodo HEAD del protocollo HTTP viene utilizzato per:","ottenere l’intestazione di una pagina web","inviare solo l’intestazione di una richiesta HTTP","modificare l’intestazione, o home page, di un server web","ricevere solo l’intestazione della risposta HTTP","D",""
"La ricezione su un nodo A di un pacchetto ICMP Echo Reply inviato da un nodo B indica che","A e B sono in grado di scambiarsi pacchetti IP","A è in grado di inviare pacchetti IP a B ma non viceversa","B è in grado di inviare pacchetti IP ad A ma non viceversa","B è in grado di inviare pacchetti IP ad A ma viceversa non è garantito","A",""
"La trama ARP Request viene utilizzata per imparare","l’indirizzo MAC di una stazione connessa ad una rete IP diversa da quella della sorgente","l’indirizzo IP di un nodo Ethernet direttamente connesso al nodo sorgente","l’indirizzo IP di una stazione dato il suo nome internet","l’indirizzo MAC di un nodo IP direttamente connesso al nodo sorgente","D",""
"Il protocollo DHCP","viene utilizzato per la configurazione automatica di una stazione IP","fornisce alle stazioni IP unicamente degli indirizzi di tipo privato","fornisce alle stazioni l’indirizzo IP corrispondente ad un dato nome di dominio","non permette ad una stazione di riutilizzare lo stesso indirizzo IP già utilizzato durante una precedente connessione alla rete locale","A",""
"Data una topologia (nodi, canali e costi associati), il percorso ottimo tra una sorgente ed una destinazione","non cambia mai anche nel caso in cui un canale diventi indisponibile","cambia a seconda del nodo che esegue l’algoritmo link state","è lo stesso sia che si utilizzi un algoritmo link state sia che si utilizzi un algoritmo distance vector","non cambia mai anche nel caso in cui il costo dei canali cambi","C",""
"Quando uno switch Ethernet riceve un pacchetto ARP Request","lo inoltra solo verso la porta a cui è collegato il server DHCP della rete","lo inoltra su tutte le porte tranne quella da cui è stato ricevuto il pacchetto","lo inoltra solo sulle porte sulle quali è stato abilitato il traffico multicast","lo inoltra solo sulla porta a cui è collegato il nodo/l’host destinazione","B",""
"Gli indirizzi IP versione 4 sono:","assegnati randomicamente alle varie stazioni connesse ad internet, indipendentemente dalla loro posizione","assegnati dai costruttori delle schede di rete","generalmente assegnati su base geografica e topologica, in modo da favorirne l’aggregabilità","","C",""
"La fase di slow start in TCP","prevede che la finestra di congestione rimanga ad un valore molto basso per tutta la durata della connessione","è una delle fasi che realizzano il controllo di flusso","permette alla finestra di congestione di crescere velocemente partendo da un valore iniziale molto basso","permette alla finestra di congestione di crescere lentamente in modo da evitare situazioni di congestione","C",""
"La dimensione minima del pacchetto nel protocollo CSMA/CD della rete Ethernet","è necessaria per garantire il riconoscimento della collisione","è da preferire per massimizzare le prestazioni in termini di traffico smaltito","È necessaria per garantire di evitare di causare più collisioni consecutive sullo stesso pacchetto","non dipende in nessun modo dalla dimensione massima (in metri) consentita della rete","A",""
"Una topologia ad anello può essere preferibile rispetto ad una topologia a maglia perché:","può trasportare contemporaneamente comunicazioni dati e voce","l’instradamento è più semplice","è più robusta ai guasti","consente percorsi bidirezionali","B",""
"Due stazioni nello stesso collision domain in una rete Ethernet","possono creare una collisione solo nel caso di trasmissione esattamente contemporanea","non possono mai creare una collisione grazie all’operazione di carrier sense tipica del protocollo CSMA-CD","identificano la collisione grazie ad una trama NACK inviata dallo switch su cui sono collegate","possono creare una collisione quando trasmettono un pacchetto","D",""
"I segmenti TCP inviati dall’host A all’host B contengono un numero di conferma (Acknowledgment number) che indica:","il prossimo byte che l’host B si aspetta di ricevere","il prossimo byte che l’host A si aspetta di ricevere nei segmenti inviati dall’host B","la posizione del segmento nella sequenza di segmenti trasmessi sulla connessione TCP","la posizione del primo byte del segmento nella sequenza di byte trasmessi sulla connessione TCP","B",""
"Un nodo che usa un protocollo a finestra Selective Repeat con semantica cumulativa degli ACK per ricevere dati da un altro nodo si vede recapitare una PDU duplicata. Assumendo che nessun dato sia stato perso, quale dei seguenti motivi è più probabilmente la causa di questo comportamento?","La finestra del ricevitore è troppo piccola","Il timeout del trasmettitore è troppo breve","Il timeout del trasmettitore è troppo lungo","La finestra del trasmettitore è troppo piccola","B",""
